title,desc,date,datetime,link,img,media,site,log_date,subject
"TN plans big bang in defence, aerospace",,45 minutes ago,2023-10-22 19:39:13.765204,news.google.com/./articles/CBMic2h0dHBzOi8vbS50aW1lc29maW5kaWEuY29tL2J1c2luZXNzL2luZGlhLWJ1c2luZXNzL3RuLXBsYW5zLWJpZy1iYW5nLWluLWRlZmVuY2UtYWVyb3NwYWNlL2FydGljbGVzaG93LzEwNDYzMzQxMy5jbXPSAXdodHRwczovL20udGltZXNvZmluZGlhLmNvbS9idXNpbmVzcy9pbmRpYS1idXNpbmVzcy90bi1wbGFucy1iaWctYmFuZy1pbi1kZWZlbmNlLWFlcm9zcGFjZS9hbXBfYXJ0aWNsZXNob3cvMTA0NjMzNDEzLmNtcw?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/frhdddi6EkxoZb6eaLxTm52C3sJ30qWjTbvBem_Dj5vaIe7CRLcMWqceFNtHlKmuxNWgLU88rrimxWtPIOojWdV7zRLYQcHEnupwee8rLuumCdFFQ3_8eu3GPVcr7a06apRDgoryUh3m1JuMgSjiy42iE-B5YuDaICFzqzV551wQUG1hoYa2MyQjRKlh=s0-h14-rp,IndiaTimes,,1698017050.871637,aerospace
Park Aerospace Corp. (NYSE:PKE) is favoured by institutional owners who hold 79% of the company,,9 hours ago,2023-10-22 11:24:13.756195,news.google.com/./articles/CBMiSmh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9wYXJrLWFlcm9zcGFjZS1jb3JwLW55c2UtcGtlLTE0MTUxNjI5Ny5odG1s0gFSaHR0cHM6Ly9maW5hbmNlLnlhaG9vLmNvbS9hbXBodG1sL25ld3MvcGFyay1hZXJvc3BhY2UtY29ycC1ueXNlLXBrZS0xNDE1MTYyOTcuaHRtbA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/L57n4HUzUS8lNXBPYNGQScsyxaqqx42Nym3-tUk8NzkTvMsa95NhzEqC8KMqVPFpAFpCuPFdlA=s0-h14-rp,Yahoo Finance,,1698017050.871637,aerospace
Colonel General Afzalov becomes new commander of Russian ...,,Yesterday,2023-10-21 20:24:13.759196,news.google.com/./articles/CBMiSGh0dHBzOi8vZW5nbGlzaC5uZXdzLmNuLzIwMjMxMDIxLzdiM2JhMzdlYWI2ZTRmYzU4MDc3Y2MwYmNiZmJkMGEzL2MuaHRtbNIBAA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://english.news.cn&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Xinhua,,1698017050.871637,aerospace
"AeroDef Manufacturing 2023 Exhibitor Preview: Aerospace and Defense Global Suppliers, Distributors and Equipment Builders to Demonstrate Innovative Technologies and Solutions for Sector Manufacturers",,Yesterday,2023-10-21 20:24:13.755205,news.google.com/./articles/CBMiWmh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vbmV3cy9hZXJvZGVmLW1hbnVmYWN0dXJpbmctMjAyMy1leGhpYml0b3ItcHJldmlldy0xODM4MDA4NTUuaHRtbNIBYmh0dHBzOi8vZmluYW5jZS55YWhvby5jb20vYW1waHRtbC9uZXdzL2Flcm9kZWYtbWFudWZhY3R1cmluZy0yMDIzLWV4aGliaXRvci1wcmV2aWV3LTE4MzgwMDg1NS5odG1s?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/L57n4HUzUS8lNXBPYNGQScsyxaqqx42Nym3-tUk8NzkTvMsa95NhzEqC8KMqVPFpAFpCuPFdlA=s0-h14-rp,Yahoo Finance,,1698017050.871637,aerospace
How women at NASA helped to inspire these Forsyth County ...,,2 days ago,2023-10-20 20:24:13.765204,news.google.com/./articles/CBMicWh0dHBzOi8vd3d3LmZvcnN5dGhuZXdzLmNvbS9uZXdzL2VkdWNhdGlvbi9ob3ctd29tZW4tbmFzYS1oZWxwZWQtaW5zcGlyZS10aGVzZS1mb3JzeXRoLWNvdW50eS1hZXJvc3BhY2Utc3R1ZGVudHMv0gEA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn2.gstatic.com/faviconV2?url=https://www.forsythnews.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Forsyth County News Online,,1698017050.871637,aerospace
ETS engineering university to expand into aerospace industry in Longueuil,,2 days ago,2023-10-20 20:24:13.764194,news.google.com/./articles/CBMidWh0dHBzOi8vbW9udHJlYWxnYXpldHRlLmNvbS9uZXdzL2xvY2FsLW5ld3MvZXRzLWVuZ2luZWVyaW5nLXVuaXZlcnNpdHktdG8tZXhwYW5kLWludG8tYWVyb3NwYWNlLWluZHVzdHJ5LWluLWxvbmd1ZXVpbNIBowFodHRwczovL21vbnRyZWFsZ2F6ZXR0ZS5jb20vbmV3cy9sb2NhbC1uZXdzL2V0cy1lbmdpbmVlcmluZy11bml2ZXJzaXR5LXRvLWV4cGFuZC1pbnRvLWFlcm9zcGFjZS1pbmR1c3RyeS1pbi1sb25ndWV1aWwvd2NtLzlhNDc2NWYwLTY5MmUtNGJhYi05NjM0LTYwNTE4OTlmZjg3ZC9hbXAv?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/GzGZHyu1K-Eo9N5BNoxkEO99dPTGJHeDsLJrP6jmbeu-BLUIAbsAlIEKym66aMn2Ij_Oy3ktwQ=s0-h14-rp,Montreal Gazette,,1698017050.871637,aerospace
BluJ Aerospace: Conjuring hydrogen tech for India and the globe,,2 days ago,2023-10-20 20:24:13.763199,news.google.com/./articles/CBMidWh0dHBzOi8vd3d3LmZvcmJlc2luZGlhLmNvbS9hcnRpY2xlL2lubm92YXRpb24vYmx1ai1hZXJvc3BhY2UtY29uanVyaW5nLWh5ZHJvZ2VuLXRlY2gtZm9yLWluZGlhLWFuZC10aGUtZ2xvYmUvODkxMjkvMdIBeWh0dHBzOi8vd3d3LmZvcmJlc2luZGlhLmNvbS9hbXAvYXJ0aWNsZS9pbm5vdmF0aW9uL2JsdWotYWVyb3NwYWNlLWNvbmp1cmluZy1oeWRyb2dlbi10ZWNoLWZvci1pbmRpYS1hbmQtdGhlLWdsb2JlLzg5MTI5LzE?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/proxy/4NsRFae-EQiPs5Qh-6IyFgaJ-8-EI1aTrAkAfewdFFy_8hnDYkLqN8avYy1iMf3Y0smiMS-sLquaZbRpikA9c-ZZXnSJHisvehwCU--pTNYLjb0vql-OZuTf5h2PuQJHcTzU2h_r6xbJwTcNrhkaKZPpvr4TWbuGMyLtvlg-WureTzwJqC_YBlTm-MfT3A=s0-h14-rp,Forbes India,,1698017050.871637,aerospace
Carter Manufacturing joins FETCH aviation hydrogen project,,2 days ago,2023-10-20 20:24:13.761207,news.google.com/./articles/CBMiU2h0dHBzOi8vd3d3LmFlcm8tbWFnLmNvbS9jYXJ0ZXItbWFudWZhY3R1cmluZy1qb2lucy1mZXRjaC1hdmlhdGlvbi1oeWRyb2dlbi1wcm9qZWN00gEA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/Kr1SwIOTFYnnPYd6k3g2E1DBVrkuzOSq7iZywSeMk8htgFqJ-Ez987LlqFmErhgiYAWvJ_CqeqY=s0-h14-rp,Aerospace Manufacturing,,1698017050.871637,aerospace
Aerospace Maintenance Chemicals Market is estimated to be US ...,,2 days ago,2023-10-20 20:24:13.760199,news.google.com/./articles/CBMizwFodHRwczovL3d3dy5nbG9iZW5ld3N3aXJlLmNvbS9uZXdzLXJlbGVhc2UvMjAyMy8xMC8yMC8yNzY0MDAwLzAvZW4vQWVyb3NwYWNlLU1haW50ZW5hbmNlLUNoZW1pY2Fscy1NYXJrZXQtaXMtZXN0aW1hdGVkLXRvLWJlLVVTLTEwLTUxLWJpbGxpb24tYnktMjAzMC13aXRoLWEtQ0FHUi1vZi0zLTUtZHVyaW5nLXRoZS1mb3JlY2FzdC1wZXJpb2QtQnktUE1JLmh0bWzSAQA?hl=en-US&gl=US&ceid=US%3Aen,https://lh3.googleusercontent.com/mJI4NoxATIZqUI2dQzTur5opKuR9-9OVpNCw5xjFKgy7lhKMuQsIkrO6pbRM9YUeF7s3SOSaXw=s0-h14-rp,GlobeNewswire,,1698017050.871637,aerospace
Oxcart Assembly and Quub Team Up to Challenge Aerospace ...,,2 days ago,2023-10-20 20:24:13.760199,news.google.com/./articles/CBMimwFodHRwczovL3d3dy5idXNpbmVzc3dpcmUuY29tL25ld3MvaG9tZS8yMDIzMTAxOTE2NjQ1Ny9lbi9PeGNhcnQtQXNzZW1ibHktYW5kLVF1dWItVGVhbS1VcC10by1DaGFsbGVuZ2UtQWVyb3NwYWNlLUdvbGlhdGhzLXdpdGgtVVNBLVRPREFZLVNwZWNpYWwtRWRpdGlvbi1BZNIBAA?hl=en-US&gl=US&ceid=US%3Aen,"https://encrypted-tbn3.gstatic.com/faviconV2?url=https://www.businesswire.com&client=NEWS_360&size=96&type=FAVICON&fallback_opts=TYPE,SIZE,URL",Business Wire,,1698017050.871637,aerospace
